gate_block_above_0_9_ci95_high,gate_block_above_0_9_ci95_low,gate_block_above_0_9_mean,gate_block_below_0_5_ci95_high,gate_block_below_0_5_ci95_low,gate_block_below_0_5_mean,gate_block_mean_ci95_high,gate_block_mean_ci95_low,gate_block_mean_mean,gate_candidate_norm_spearman_ci95_high,gate_candidate_norm_spearman_ci95_low,gate_candidate_norm_spearman_mean,gate_ff_above_0_9_ci95_high,gate_ff_above_0_9_ci95_low,gate_ff_above_0_9_mean,gate_ff_below_0_5_ci95_high,gate_ff_below_0_5_ci95_low,gate_ff_below_0_5_mean,gate_ff_mean_ci95_high,gate_ff_mean_ci95_low,gate_ff_mean_mean,gate_sa_above_0_9_ci95_high,gate_sa_above_0_9_ci95_low,gate_sa_above_0_9_mean,gate_sa_below_0_5_ci95_high,gate_sa_below_0_5_ci95_low,gate_sa_below_0_5_mean,gate_sa_mean_ci95_high,gate_sa_mean_ci95_low,gate_sa_mean_mean,gate_utility_block_spearman_ci95_high,gate_utility_block_spearman_ci95_low,gate_utility_block_spearman_mean,gate_utility_ff_spearman_ci95_high,gate_utility_ff_spearman_ci95_low,gate_utility_ff_spearman_mean,gate_utility_sa_spearman_ci95_high,gate_utility_sa_spearman_ci95_low,gate_utility_sa_spearman_mean,layer,seed_n,task_family,utility_block_mean_ci95_high,utility_block_mean_ci95_low,utility_block_mean_mean,utility_ff_mean_ci95_high,utility_ff_mean_ci95_low,utility_ff_mean_mean,utility_sa_mean_ci95_high,utility_sa_mean_ci95_low,utility_sa_mean_mean,variant
1.0,0.22999998927116394,0.6299999952316284,0.0,0.0,0.0,0.9523214101791382,0.8209139108657837,0.8934990763664246,0.3331170678138733,-0.18879902362823486,0.011872815899550915,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0015471667284145951,-0.2693188786506653,-0.12289875745773315,,,,,,,0,5,first,0.165670245885849,0.02339971251785755,0.07731422036886215,0.027645325288176537,0.0008068227325566113,0.011529916897416115,0.08699061721563339,0.0013938331976532936,0.03059316612780094,gated
0.7233332991600037,0.0833333283662796,0.3933333456516266,0.0,0.0,0.0,0.9287196397781372,0.8059444427490234,0.8725448846817017,0.46811890602111816,-0.10629619657993317,0.17900528013706207,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.09191443026065826,-0.2311197817325592,-0.07412058860063553,,,,,,,1,5,first,0.12466497719287872,0.017600025981664658,0.07113250344991684,0.045603953301906586,0.0009306229185312986,0.01675880327820778,0.13193389773368835,0.0003909373190253973,0.04743840917944908,gated
0.6599999666213989,0.030000001192092896,0.29333335161209106,0.0,0.0,0.0,0.8964311480522156,0.7695964574813843,0.8359425663948059,0.23937758803367615,-0.260250061750412,0.02369547262787819,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.05368157476186752,-0.2981606125831604,-0.12570157647132874,,,,,,,2,5,first,0.05182970315217972,0.015062456950545311,0.02988973632454872,0.006182973273098469,0.0006477037677541375,0.0034153382293879986,0.02711154893040657,0.006698410026729107,0.016904978081583977,gated
0.8833333849906921,0.4333333373069763,0.6766666769981384,0.0,0.0,0.0,0.9453685879707336,0.88456791639328,0.9137375950813293,0.4257071614265442,0.032142262905836105,0.20208947360515594,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.11593220382928848,-0.075376495718956,0.012492358684539795,,,,,,,3,5,first,0.9029756784439087,0.046524178236722946,0.45917439460754395,0.0030536851845681667,0.00018558646843302995,0.0013558005448430777,0.9819430112838745,0.025302261114120483,0.500698983669281,gated
0.9266666173934937,0.653333306312561,0.7900000214576721,0.0,0.0,0.0,0.951530933380127,0.8944571614265442,0.9226016998291016,0.591731071472168,0.413592666387558,0.507996678352356,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4929591119289398,0.23717698454856873,0.3778827488422394,,,,,,,4,5,first,0.14721746742725372,0.00015226354298647493,0.05120221897959709,0.0016820499440655112,0.0003604292869567871,0.0009949684608727694,0.13890859484672546,-5.698860695702024e-05,0.04730682820081711,gated
0.9966667294502258,0.6599999666213989,0.8500000238418579,0.03333333507180214,0.0,0.013333333656191826,0.9589985609054565,0.8762536644935608,0.9225234985351562,0.3379113972187042,-0.33272576332092285,0.08702417463064194,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3029952645301819,-0.18416225910186768,0.09867185354232788,,,,,,,5,5,first,1.7600886821746826,0.011086267419159412,0.5993684530258179,0.005630569998174906,0.00020719233725685626,0.0022544427774846554,1.785096526145935,0.007920891046524048,0.6033301949501038,gated
0.9666666984558105,0.6499999761581421,0.8166667222976685,0.07000000029802322,0.0,0.023333333432674408,0.9474706649780273,0.8615599870681763,0.9132059216499329,0.742361843585968,0.44848018884658813,0.5954209566116333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5416615605354309,0.30355098843574524,0.4191497266292572,,,,,,,6,5,first,0.05346717685461044,0.00401570787653327,0.027386074885725975,0.0007458104519173503,-0.00011630911467364058,0.0003147506504319608,0.042932040989398956,0.004943339619785547,0.022128988057374954,gated
0.6899999380111694,0.33666664361953735,0.4899999499320984,0.1599999964237213,0.0033333334140479565,0.06333333998918533,0.8950061798095703,0.7644035220146179,0.8375332951545715,0.8555265665054321,0.3717588186264038,0.6202611327171326,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5842512249946594,0.20210058987140656,0.3931758999824524,,,,,,,7,5,first,0.019238801673054695,0.0009699119837023318,0.007586367428302765,0.0025248494930565357,0.00031810373184271157,0.0012155072763562202,0.011930761858820915,0.0004815255233552307,0.004916556179523468,gated
0.8300000429153442,0.43333330750465393,0.65666663646698,0.17000000178813934,0.009999999776482582,0.08999999612569809,0.9147791862487793,0.7770000696182251,0.8475378155708313,0.5964990258216858,0.13183662295341492,0.36416783928871155,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5092525482177734,0.2610725164413452,0.38231730461120605,,,,,,,8,5,first,0.0024194319266825914,-0.0006219776114448905,0.0008576138061471283,0.0012936891289427876,0.00010277482215315104,0.0005667872610501945,0.0031110206618905067,-0.0009184826631098986,0.0008753989823162556,gated
0.49333328008651733,0.2633333206176758,0.37999996542930603,0.3466666638851166,0.15000000596046448,0.23666667938232422,0.7915266156196594,0.6428993940353394,0.7167825698852539,0.8105806112289429,0.3896971344947815,0.6174604296684265,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6098138689994812,0.2856571078300476,0.42934149503707886,,,,,,,9,5,first,0.001213712152093649,0.0003571590641513467,0.0007547271088697016,0.0003311758046038449,0.00021216002642177045,0.00027356570353731513,0.0005718722240999341,-0.00017763780488166958,0.00018527776410337538,gated
