causal_utility,e1_classification,example_id,gate,gate_entropy,layer,relative_update_norm,seed,task
-0.14512205123901367,useful,family-00300-maximum,0.9426287412643433,0.21967233024169386,0,0.4381100066641357,55,maximum
-0.31585896015167236,useful,family-00300-maximum,0.9552003741264343,0.1829085162469371,1,0.6786527150325462,55,maximum
0.44974297285079956,useful,family-00300-maximum,0.9829003214836121,0.08652602550576884,2,0.8274193393383015,55,maximum
0.3484865725040436,useful,family-00300-maximum,0.9872350096702576,0.06835191707772373,3,0.48735315567019377,55,maximum
0.039091646671295166,useful,family-00300-minimum,0.9369215369224548,0.23535531852397856,0,0.4644314170339881,55,minimum
0.7214358448982239,useful,family-00300-minimum,0.9498326182365417,0.19900779413368896,1,0.9684966431514834,55,minimum
0.09446948766708374,useful,family-00300-minimum,0.9753676056861877,0.11555731772995975,2,0.5185348812316403,55,minimum
0.14056146144866943,useful,family-00300-minimum,0.9797245264053345,0.09910927979440462,3,0.5920289337406858,55,minimum
-0.033650800585746765,redundant_or_uncertain,family-00300-sum_mod_10,0.9360013604164124,0.23783102601546674,0,0.4835182765188962,55,sum_mod_10
0.021106921136379242,redundant_or_uncertain,family-00300-sum_mod_10,0.9493011832237244,0.20056774875893663,1,0.5855437204827286,55,sum_mod_10
-0.020536625757813454,useful,family-00300-sum_mod_10,0.9759699106216431,0.11333397684280294,2,0.5081643020270865,55,sum_mod_10
-0.000601455569267273,candidate_harmful,family-00300-sum_mod_10,0.986589789390564,0.07114121550906019,3,0.7487826485378125,55,sum_mod_10
0.361985445022583,useful,family-00301-maximum,0.9426287412643433,0.21967233024169386,0,0.6059360611770066,55,maximum
0.2760346531867981,useful,family-00301-maximum,0.9563632011413574,0.17933465853875025,1,0.5501341266702953,55,maximum
-0.019515156745910645,useful,family-00301-maximum,0.9830632209777832,0.08586525476569047,2,0.5881446169509758,55,maximum
0.45732584595680237,useful,family-00301-maximum,0.9839041233062744,0.08242860503291345,3,0.8849000365903678,55,maximum
0.022279469296336174,useful,family-00301-minimum,0.9361761212348938,0.23736193039724363,0,0.5068612588324393,55,minimum
0.020176250487565994,useful,family-00301-minimum,0.9528952836990356,0.1899003564819264,1,0.4117832748220882,55,minimum
0.009189002215862274,useful,family-00301-minimum,0.974379301071167,0.11917297795823076,2,0.6744239041050327,55,minimum
-0.025528520345687866,useful,family-00301-minimum,0.97161465883255,0.129083858302473,3,0.6913491374496005,55,minimum
-0.03249058127403259,redundant_or_uncertain,family-00301-sum_mod_10,0.9356104135513306,0.23887856739704955,0,0.7107774537387173,55,sum_mod_10
-0.030439570546150208,redundant_or_uncertain,family-00301-sum_mod_10,0.9524939060211182,0.19110556232393755,1,0.4581605027018845,55,sum_mod_10
0.05506023019552231,useful,family-00301-sum_mod_10,0.9717207551002502,0.12870880670030857,2,0.536085425976733,55,sum_mod_10
-0.012348458170890808,candidate_harmful,family-00301-sum_mod_10,0.9805335998535156,0.09595511091228567,3,0.7381372753234277,55,sum_mod_10
0.010665535926818848,useful,family-00302-maximum,0.93756103515625,0.2336263406404954,0,0.42804309408302166,55,maximum
